parameter,mean,var
massx_nd,0.0467,100
massy_nd,0.2579,100
IzzJzz_nd,0.0286,100
xuu_nd,-0.02139,100
xvr_nd,0.4535,100
yv_nd,-0.3728,100
nv_nd,0.116,100
yr_nd,-0.1458,100
nr_nd,-0.04849,100
coeff_drag_sway,0.9665,100
cry_cross_flow,2.217,100
crn_cross_flow,0.8097,100
coeff_drag_aft,-0.03189,100
t_prop,0.22,100
w_prop_zero,0.614,100
tau_prop,0.871,100
coeff_cp_prop,-0.359,100
xp_prop_nd,-0.517,100
kt_coeff0,0.3278,100
kt_coeff1,-0.3323,100
kt_coeff2,-0.156,100
ai_coeff_prop0,-0.000079,100
ai_coeff_prop1,0.00799,100
ai_coeff_prop2,-0.00493,100
ai_coeff_prop3,-0.00587,100
ai_coeff_prop4,-0.000558,100
ai_coeff_prop5,0.00508,100
ai_coeff_prop6,0.0017,100
ai_coeff_prop7,0.000916,100
bi_coeff_prop0,0.000035,100
bi_coeff_prop1,-0.00317,100
bi_coeff_prop2,0.00196,100
bi_coeff_prop3,0.00233,100
bi_coeff_prop4,0.000225,100
bi_coeff_prop5,-0.00216,100
bi_coeff_prop6,0.0000627,100
bi_coeff_prop7,0.0000625,100
ci_coeff_prop0,-0.251,100
ci_coeff_prop1,-0.175,100
ci_coeff_prop2,0.33,100
ci_coeff_prop3,-0.233,100
t_rudder,0.19,100
ah_rudder,0.393,100
xh_rudder_nd,-0.45,100
kx_rudder,0.288,100
epsilon_rudder,1.42,100
lr_rudder_nd,-1.08,100
gammaN_rudder,0.4406,100
gammaP_rudder,0.3506,100
kx_rudder_reverse,0.144,100
cpr_rudder,-0.176,100
XX0,0.4406,100
XX1,0.3506,100
XX3,0.060273613,100
XX5,0.044558221,100
YY1,1.058172083,100
YY3,0.002321463,100
YY5,-0.015293452,100
NN1,-0.030727798,100
NN2,0.10411637,100
NN3,-8.80E-04,100